entry,entry_name,gene_names,nucleus,cytoplasm,mitochondrion,plasma_membrane,endoplasmic_reticulum,golgi_apparatus,vacuole,zones
P21771,RT28_YEAST,MRPS28 YDR337W D9651.3,0,0,1,0,0,0,0,mitochondrion
P21801,SDHB_YEAST,SDH2 SDH SDHB YLL041C,0,0,1,0,0,0,0,mitochondrion
P21825,SEC62_YEAST,SEC62 YPL094C LPG14C,0,0,0,0,1,0,0,endoplasmic_reticulum
P21826,MLS2_YEAST,DAL7 MLS2 YIR031C,0,1,0,0,0,0,0,cytoplasm
P21827,RCC1_YEAST,SRM1 MTR1 PRP20 YGL097W,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P21951,DPOE_YEAST,POL2 DUN2 YNL262W N0825,1,0,0,0,0,0,0,nucleus
P21954,IDHP_YEAST,IDP1 YDL066W,0,0,1,0,0,0,0,mitochondrion
P21957,OPI1_YEAST,OPI1 YHL020C,1,0,0,0,1,0,0,"nucleus,endoplasmic_reticulum"
P21965,MCK1_YEAST,MCK1 YPK1 YNL307C N0392,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22007,FNTB_YEAST,RAM1 DPR1 SCG2 STE16 YDL090C D2412,0,0,0,0,0,0,0,
P22082,SNF2_YEAST,SNF2 GAM1 RIC1 SWI2 TYE3 YOR290C,1,0,0,0,0,0,0,nucleus
P22108,APA2_YEAST,APA2 YDR530C D9719.33,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22133,MDHC_YEAST,MDH2 YOL126C,0,1,0,0,0,0,0,cytoplasm
P22137,CLH_YEAST,CHC1 YGL206C,0,0,0,0,0,0,0,
P22138,RPA2_YEAST,RPA135 RPA2 RRN2 SRP3 YPR010C YP9531.03C,1,0,0,0,0,0,0,nucleus
P22139,RPAB5_YEAST,RPB10 YOR210W,1,0,0,0,0,0,0,nucleus
P22140,EPT1_YEAST,EPT1 YHR123W,0,0,0,0,1,1,0,"endoplasmic_reticulum,golgi_apparatus"
P22141,PSB4_YEAST,PRE1 YER012W,1,0,0,0,0,0,0,nucleus
P22146,GAS1_YEAST,GAS1 GGP1 YMR307W YM9952.09,0,0,1,1,0,0,0,"mitochondrion,plasma_membrane"
P22147,XRN1_YEAST,XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22148,MSN1_YEAST,MSN1 FUP1 PHD2 YOL116W HRB382,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22149,AFT1_YEAST,AFT1 RCS1 YGL071W,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P22202,HSP74_YEAST,SSA4 YER103W,1,1,0,1,0,0,0,"nucleus,cytoplasm,plasma_membrane"
