protein1 protein2 experimental database textmining combined_score
4932.Q0070 4932.YMR014W 164 0 0 163
4932.Q0070 4932.Q0115 170 0 166 278
4932.Q0070 4932.YHR001W-A 0 540 0 540
4932.Q0070 4932.YKR016W 292 0 0 292
4932.Q0070 4932.YJL166W 208 540 0 620
4932.Q0070 4932.YBL045C 208 540 84 637
4932.Q0070 4932.YLL041C 0 0 208 208
4932.Q0070 4932.Q0060 0 540 0 540
4932.Q0070 4932.YLR038C 486 540 79 763
4932.Q0070 4932.YLR163C 208 0 84 243
4932.Q0070 4932.YML043C 207 0 0 207
4932.Q0070 4932.YPL172C 0 0 222 222
4932.Q0070 4932.YOR065W 403 718 193 852
4932.Q0070 4932.YEL024W 402 540 203 761
4932.Q0070 4932.YGL191W 489 540 67 761
4932.Q0075 4932.YBL045C 162 0 78 194
4932.Q0075 4932.YGR183C 208 0 0 208
4932.Q0075 4932.YJL166W 208 0 0 208
4932.Q0075 4932.YMR244C-A 186 0 0 186
4932.Q0075 4932.YLL041C 0 0 199 199
4932.Q0075 4932.YDR529C 207 0 0 207
4932.Q0075 4932.YLR163C 162 0 78 194
4932.Q0075 4932.YLR038C 186 0 0 186
4932.Q0075 4932.YIL111W 158 0 118 225
4932.Q0075 4932.Q0115 152 0 116 218
4932.Q0075 4932.YNL052W 158 0 118 225
4932.Q0075 4932.YMR014W 164 0 0 163
4932.Q0075 4932.Q0250 209 413 219 605
4932.Q0075 4932.YJR048W 141 335 0 404
4932.Q0075 4932.YHR051W 208 288 126 464
4932.Q0075 4932.YPR191W 201 0 212 343
4932.Q0075 4932.YKL192C 164 0 0 163
4932.Q0075 4932.YHR024C 145 0 78 177
4932.Q0075 4932.YGL226W 158 0 118 225
4932.Q0075 4932.YLR395C 209 288 0 412
4932.Q0075 4932.YGL191W 208 0 57 221
4932.Q0075 4932.Q0105 152 0 116 218
4932.Q0075 4932.YPL172C 0 0 222 222
4932.Q0075 4932.YML043C 164 0 0 163
4932.Q0075 4932.Q0110 152 0 116 218
4932.Q0075 4932.YEL039C 141 335 0 404
4932.Q0075 4932.Q0275 209 413 255 623
4932.Q0075 4932.YGL187C 208 288 152 480
4932.Q0075 4932.YEL024W 209 0 181 324
4932.Q0075 4932.YOR065W 214 413 193 595
4932.Q0075 4932.Q0120 152 0 116 218
4932.Q0075 4932.YGL122C 292 0 0 292
4932.Q0080 4932.YLR447C 0 720 0 720
4932.Q0080 4932.YMR054W 0 720 0 720
4932.Q0080 4932.YPL271W 800 720 0 941
4932.Q0080 4932.YNR019W 230 0 0 229
4932.Q0080 4932.YML081C-A 972 720 452 995
4932.Q0080 4932.YDR298C 800 720 204 951
4932.Q0080 4932.YBL099W 944 720 0 983
4932.Q0080 4932.YOR270C 0 720 0 720
4932.Q0080 4932.YCL005W-A 0 720 0 720
4932.Q0080 4932.YPR042C 292 0 0 292
4932.Q0080 4932.YPL234C 0 720 0 720
4932.Q0080 4932.YBR039W 800 720 0 941
4932.Q0080 4932.YHR047C 358 0 0 358
4932.Q0080 4932.YOL077W-A 800 720 0 941
4932.Q0080 4932.Q0085 972 854 337 997
4932.Q0080 4932.YHR026W 0 720 0 720
4932.Q0080 4932.YIR024C 292 0 0 292
4932.Q0080 4932.YLR203C 457 0 0 457
4932.Q0080 4932.YLR295C 944 720 0 983
4932.Q0080 4932.YDR377W 926 720 0 978
4932.Q0080 4932.YPL078C 972 720 0 991
4932.Q0080 4932.YEL027W 0 720 0 720
4932.Q0080 4932.YLR393W 734 0 0 734
4932.Q0080 4932.YPR020W 0 720 0 720
4932.Q0080 4932.YLR067C 292 0 0 292
4932.Q0080 4932.Q0130 900 720 533 985
4932.Q0080 4932.YDL004W 800 720 386 962
4932.Q0080 4932.YKL016C 972 720 0 991
4932.Q0080 4932.YJR121W 944 720 0 983
4932.Q0080 4932.YDR322C-A 0 720 0 720
4932.Q0080 4932.YOR020W-A 0 540 0 540
4932.Q0085 4932.YPL271W 957 948 241 998
4932.Q0085 4932.YCR106W 421 0 0 420
4932.Q0085 4932.Q0080 972 854 337 997
4932.Q0085 4932.YCL005W-A 0 720 0 720
4932.Q0085 4932.YPL132W 0 0 181 181
4932.Q0085 4932.YGR112W 0 0 161 161
4932.Q0085 4932.YDR298C 976 967 492 999
4932.Q0085 4932.YBL099W 957 967 492 999
4932.Q0085 4932.YML129C 292 0 0 292
4932.Q0085 4932.YOL027C 287 0 0 286
4932.Q0085 4932.Q0275 734 0 84 745
4932.Q0085 4932.YOL077W-A 900 720 0 970
4932.Q0085 4932.YMR076C 292 0 0 292
4932.Q0085 4932.YJR119C 502 487 287 801
4932.Q0085 4932.YIR024C 292 0 0 292
4932.Q0085 4932.YLR295C 944 720 0 983
4932.Q0085 4932.YKL016C 972 948 225 998
4932.Q0085 4932.Q0045 292 0 0 292
4932.Q0085 4932.YPR020W 825 854 0 973
4932.Q0085 4932.Q0130 992 836 540 999
4932.Q0085 4932.YOR020W-A 0 540 0 540
4932.Q0085 4932.YCR011C 197 0 0 197
4932.Q0085 4932.YNL016W 292 0 0 292
4932.Q0085 4932.YOR187W 0 0 208 208
4932.Q0085 4932.YMR054W 0 956 0 955
4932.Q0085 4932.YLR447C 0 900 0 900
4932.Q0085 4932.YMR176W 502 487 287 801
4932.Q0085 4932.YML081C-A 972 900 470 998
4932.Q0085 4932.YOR270C 0 956 0 955
4932.Q0085 4932.YPL119C 164 0 0 163
4932.Q0085 4932.YPL234C 495 941 398 980
4932.Q0085 4932.YBR039W 957 967 492 999
4932.Q0085 4932.YOR204W 164 0 0 163
4932.Q0085 4932.YHR026W 383 941 268 971
4932.Q0085 4932.YER141W 0 0 181 181
4932.Q0085 4932.YPL078C 972 948 0 998
4932.Q0085 4932.YEL024W 0 0 350 349
4932.Q0085 4932.YLR203C 457 0 0 457
4932.Q0085 4932.YDR377W 933 720 0 980
4932.Q0085 4932.YDL004W 957 967 492 999
